,도서명,저자,번역,출판사,정가,판매가격,소개
16,[큰글자도서] 나의 첫 투자 수업 1 : 마인드편,"김정환, 김이안 저 ",, 트러스트북스 ," 34,000원",,"  한국인이 가장 사랑하는 주식 멘토 1위, 누적조회수 3천5백만을 기록한 화제의 명강의! 유튜브 채널 개설 5개월 만에 구독자 45만 돌파, 주린이들의 절대적 지지를 받고 있는 대한민국 대표 가치 투자자 슈퍼개미 김정환 대표가 하나뿐인 딸에게 그동안 비밀리에 들려주었던..."
17,[큰글자도서] 당신이 잘되면 좋겠습니다,김민섭 저 ,, 창비교육 ,"  28,000원 "," 25,200원","  김민섭 씨가 김민섭 씨를 찾습니다! 세상에 지친 당신을 위로하는 작고 선량한 재치 체험에서 오는 진솔함, 필체가 주는 따뜻함, 사회적 고찰이 주는 깨달음을 고루 갖춘 작가 김민섭이 신간 『당신이 잘되면 좋겠습니다』를 출간했다. 자신과 비슷한 처지에 놓인 누군가를 위해 벌인..."
18,한나 아렌트의 생각 (큰글자도서),김선욱 저 ,, 한길사 ," 25,000원",,  『한나 아렌트의 생각: 오늘 우리에게 한나 아렌트는 무엇을 말하는가』는 정치사상가 한나 아렌트의 사상을 하고 우리 정치 현실에 적용한다. 저자 김선욱은 아렌트를 ‘정치철학자’가 아닌 ‘정치사상가’로 한다. 아렌트가 정치를 ‘진리의 영역’이 아닌 ‘의견의 영역’이라고...
19,[큰글자도서] 언어력,이도영 저 ,, 창비교육 ,"  23,000원 "," 20,700원","  “왜 그때 제대로 말하지 못했을까?” “쓸수록 너덜너덜해지는 내 글은 뭐가 문제일까?” 보고와 회의가 일상인 직장인이라면, 내 의견을 말과 글로 전달하는 직종에 있는 사람이라면 가슴에 찌릿하게 와닿는 말들이다. 말과 글을 늘어놓을수록 꼬여만 가는 당신에게 필요한 것은 무엇일까?..."
20,[큰글자도서] 나의 첫 투자 수업 2 : 투자편,"김정환, 김이안 저 ",, 트러스트북스 ," 34,000원",,"  한국인이 가장 사랑하는 주식 멘토 1위, 누적조회수 3천5백만을 기록한 화제의 명강의! 유튜브 채널 개설 5개월 만에 구독자 45만 돌파, 주린이들의 절대적 지지를 받고 있는 대한민국 대표 가치 투자자 슈퍼개미 김정환 대표가 하나뿐인 딸에게 그동안 비밀리에 들려주었던..."
21,,,,,,,
22,시원찮은 그녀를 위한 육성방법 1,마루토 후미아키 글 , 미사키 쿠레히토 그림 , 이승원 역 ,"  6,800원 "," 6,120원","  [시원찮은 그녀를 위한 육성방법] 제1권. 이것은 나, 아키 토모야가 그다지 눈에 띄지 않는 한 소녀를 히로인에 걸맞은 캐릭터로 프로듀스하면서, 그녀를 모델로 한 미소녀 게임을 제작하는 과정을 그린 감동적인 이야..."
23,[큰글자도서] 끝까지 남겨두는 그 마음,나태주(시인) 저 ,, 북로그컴퍼니 ,"  36,000원 "," 32,400원",  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 “당신이 나의 시를 읽고 필사할 때나의 인생 또한 당신에게 알은체 손을 내밀 것입니다.”* * * * *풀꽃 시인...
24,고 녀석 맛있겠다 시리즈 세트,미야니시 타츠야(동화작가) 저 , 백승인 역 , 달리 ,,,"  『고 녀석 맛있겠다 시리즈 1-8권 세트』는 일본의 베스트셀러 동화작가인 미야니시 타츠야의 인기 그림책으로, 한정수량 특별보급판으로 출시되었습니다. 공룡을 주인공으로 진정한 우정, 가슴 찡한 가족애 등을 아이들..."
25,유리가면 47,미우치 스즈에(만화가) 저 , 서수진 역 , 대원씨아이 ,"  4,500원 "," 4,050원",  SUZUE MIUCHI의 만화 『유리가면』 제47권. 저자 특유의 기발한 상상력과 뜨거운 열정이 만들어낸 초대형 드라마 만화다. 운명처럼 연기에 이끌리는 소녀 '마야'와 그녀의 라이벌 소녀 '아유미'의 집념과 열정이 연극...
26,슈퍼차이나,"김영철(PD), KBS 슈퍼차이나 제작팀 저 ",, 가나출판사 ,"  17,000원 "," 15,300원","  세계가 주목하는 차이나 파워의 실체를 파헤치다!『슈퍼차이나』는 KBS 특별기획 다큐멘터리 《슈퍼 차이나》를 단행본으로 엮은 책으로, 슈퍼파워로 떠오른 중국의 부상을 인구, 기업, 경제, 군사, 땅, 문화, 공산당이라는 다양한 프레임을 통해 속속들이 보여준다. 이 책은 전 세계에 막대한..."
27,2021 추천도서목록,학교도서관저널 도서추천위원회 저 ,, 학교도서관저널 ,"  30,000원 "," 27,000원","  좁힐 수 있게 하는 방편으로 북큐레이션을 고민하는 선생님들을 위해, 17가지 주제에 따른 책들을 어린이 청소년 분야로 나누어 안내한다. 이와 함께 교육 현장의 교사와 사서, 도서전문가, 활동가 등으로 이뤄진 학교도서관저널 추천위에서 선정한 390여 권의 추천도서와 서평을 한다."
28,유리가면 48,미우치 스즈에(만화가) 저 , 서수진 역 , 대원씨아이 ,"  4,500원 "," 4,050원",  세대를 잇는 순정만화계의 레전드!! 홍천녀를 향한 마야의 불굴의 열정!국내에서는 문고판과 애장판으로 발행된 바 있는 [유리가면]이 가장 기본판형으로 발행된다. 현지에서 [유리가면]이 연재를 재개하여 다시 붐을...
29,시원찮은 그녀를 위한 육성방법 2,마루토 후미아키 글 , 미사키 쿠레히토 그림 , 이승원 역 ,"  6,800원 "," 6,120원","  1권 이것은 나, 아키 토모야가 그다지 눈에 띄지 않는 한 소녀를 히로인에 걸맞은 캐릭터로 프로듀스하면서, 그녀를 모델로 한 미소녀 게임을 제작하는 과정을 그린 감동적인 이야─ “아앙? 할 줄 아는 건 하나도 없으면서..."
30,도쿄 구울 4,Sui Ishida 저 , 강동욱 역 , 대원씨아이 ,"  4,800원 "," 4,320원","  SUI ISHIDA의 만화『도쿄 구울』제4권. '구울 수사관'과의 일전을 마치고 세상의 어둠을 들여다본 카네키. 인간과 구울, 저마다의 목소리로 술렁거리는 '안테이크'에 '미식가' 구울 츠키야마가 나타난다. 미지의 맛을..."
31,[큰글자도서] 너만 모르는 그리움,나태주(시인) 저 ,, 북로그컴퍼니 ,"  36,000원 "," 32,400원","  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 나태주 등단 50주년 기념 필사시집!* * * * *신작 포함 미공개 시 30여 편 수록, 필사하기 좋은 100편의 시!나태주 등단..."
32,초등 교과수업 연계도서,"김임숙, 경기도학교도서관사서협의회 저 ",, 북스북스 ,"  18,000원 "," 16,200원","  ‘2021교과수업 연계도서’ 활용에 앞서 1. 이용대상 학교도서관 사서교사 및 공공도서관 사서, 교사, 학부모, 초등학생이 활용할 수 있습니다. 2. 표준교재 및 학년별 과목 선정 연구 교재는 국정교과서와 검정교과서를 대상으로 하였습니다. 국정교과서는 전국초등학교에 공통으로..."
33,[큰글자도서] 확신,"롭 무어 지음, 이진원 저 ", 이진원 역 , 다산북스 ,"  36,000원 "," 32,400원",  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 “부자가 되려면 돈을 좇지 말고 자신의 가치를 따르라!”파산한 청년을 자수성가 백만장자로 만든 결정적 마음의...
34,은혼 42,소라치 히데아키(만화가) 저 , 설은미 역 , 학산문화사 ,"  4,500원 "," 4,050원","  일본 누계부수 4,000만 부 돌파의 초대형 화제작으로 유쾌통쾌한 SF 코미디물. 무대는 에도로 20년 전에 우주에서 온 '천인'의 대두와 폐도령으로 크게 번성했던 사무라이는 쇠퇴 일로에 있다. 그런 시대에 자신이 믿는..."
35,시원찮은 그녀를 위한 육성방법 3,마루토 후미아키 글 , 미사키 쿠레히토 그림 , 이승원 역 ,"  6,800원 "," 6,120원","  카토의 헤어스타일 체인지 때문에 혼란에 빠지고 만 서클 멤버들. 게다가 다른 서클에서 에리리를 스카우트해가려고 하는데?! 비밀스러운 마음을 가슴에 담은 채, 여름(코믹마켓)이 시작된다."
36,82년생 김지영,조남주(소설가) 저 ,, 민음사 ,"  15,000원 "," 13,500원","  작고, 가볍고, 젖지 않는 워터프루프북으로 만나는 소설!「쏜살 문고」에 「오늘의 젊은 작가」의 소설을 담아 여름 해변이나 수영장뿐만 아니라 따뜻한 욕조 안, 비 내리는 카페의 테라스, 어디서든지 마음 놓고 독서를 즐길 수 있도록 만든 워터프루프북이다. 일반적인 종이와는 달리 나무가..."
37,[큰글자도서] 처음 읽는 정치철학사,"그레임 개러드.제임스 버나드 머피 지음, 김세정 저 ", 김세정 역 , 다산초당(다산북스) ,"  36,000원 "," 32,400원",  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 세상을 바라보는 힘을 길러줄 30가지 위대한 생각들!기원전부터 21세기에 이르기까지 방대한 정치철학사를 총...
38,암살교실 5,Yusei Matsui 저 , 서현아 역 , 학산문화사 ,"  5,500원 "," 4,950원","  현재 일본 만화계의 화두는 단연 암살교실이다. 마인탐정 네우로의 작가 마츠이 유세이의 차기작으로 전작을 뛰어넘는 인기를 구사하고 있다. 특히 원피스, 나루토, 블리치, 은혼 등이 연재되는 주간 소년점프에서 연재가..."
39,만인의 인문학(큰글자도서)(리더스 원),도정일(대학교수) 저 ,, 다산북스 ," 34,000원",,"  큰글자도서 리더스원의 큰글자도서는 글자가 작아 독서에 어려움을 겪는 모든 분들에게 편안한 독서 환경을 제공함으로써 책 읽기의 즐거움을 되찾아 드리고자 합니다.책 사물과 현상을 새롭게 해석하고 기존 지식의 틀을 넘는 상상력을 가진 인문학자,도정일이 펼쳐내는 ‘삶의 예술..."
40,"그해, 여름 손님",안드레 애치먼(작가) 저 , 정지현 역 , 잔 ," 8,700원",,"  내 눈의 빛, 세상의 빛, 내 인생의 빛 같은 사람!90회 아카데미 각색상 수상작 《콜 미 바이 유어 네임(CALL ME BY YOUR NAME)》의 원작 소설 『그해, 여름 손님』. 파이팅 어워드 수상자 안드레 애치먼이 감각적인 언어로 피아노 연주와 책이 삶의 전부인 열일곱 소년 엘리오와 스물넷의 미국인 철학교수..."
