,도서명,저자,번역,출판사,정가,판매가격,출판일,소개
111,펌프킨 시저스 10,RYOTARO IWANAGA 저 , 설은미 역 , 학산문화사 ," 3,000원",, 2008.11.25,  말빈 씨는 벌집을 건드려본 적 있어요?'서방제국연맹'제국을 포함한 작은 국가들이 동쪽 강국에 대항하기 위해각각 지닌 물자와 기술을 서로 제공할 것을 약속한 운명공동체.그 합동회의가 제국 수도에서 개최될 날을 얼마...
112,내 이름은 패딩턴,마이클 본드 글 , 페기 포트넘 그림 , 파랑새 ,"  12,000원 "," 10,800원", 2014.12.15,  사랑스러운 패딩턴의 특별한 나날들!전 세계적으로 많은 사랑을 받아온 마이클 본드의 대표작 「패딩턴」 시리즈 『내 이름은 패딩턴』. 페루 깊은 숲 속에서부터 영국으로 머나먼 여행을 온 꼬마 곰이 펼치는 일상의...
113,(에약도서)GROUNDLESS 9,影待 螢太 저 ,, 雙葉社 ,"  10,010원 "," 9,400원", 2020.08.11,  책 상세정보가 없습니다.
114,허준 소설 선집 (큰글자도서),허준 저 ,, 미디어창비 ,"  19,000원 "," 17,100원", 2018.09.01,  20세기 한국근대문학의 정수(精髓)를 큰글자도서로 만난다! 한국 대표소설 선집(큰글자도서) 총 25권 출간 한국소설을 빛낸 42명의... 근대문학의 핵심 작품을 만난다 20세기 한국 근대문학을 총결산하는 ‘한국 대표소설 선집’(큰글자도서)이 출간되었다. 신채호...
115,초등학교 교과별 추천도서로 만든 독서토론 가이드북,"임영규, 최근화 외 3명 저 ",, 정인출판사 ,"  7,000원 "," 6,300원", 2009.07.11,"  우리나라도 교육과학기술부에서 ‘학교 도서관 활성화 종합 방안’을 마련하여 매년 도서관 신축 및 리모델링 사업 등을 통해 학교현장의... 이러한 하드웨어의 인프라가 구축된 후에는 학생의 발달 단계에 알맞은 좋은 책을 학교 도서관에서 많이 확보해야하며, 그 책을 어떻게 읽게 할 것인가..."
116,김동인 현상윤 태화산인 소설 선집 (큰글자도서),김동인 저 ,, 미디어창비 ,"  19,000원 "," 17,100원", 2018.09.01,  20세기 한국근대문학의 정수(精髓)를 큰글자도서로 만난다! 한국 대표소설 선집(큰글자도서) 총 25권 출간 한국소설을 빛낸 42명의... 근대문학의 핵심 작품을 만난다 20세기 한국 근대문학을 총결산하는 ‘한국 대표소설 선집’(큰글자도서)이 출간되었다. 신채호...
117,최서해 소설 선집 (큰글자도서),최서해 저 ,, 미디어창비 ,"  19,000원 "," 17,100원", 2018.09.01,  20세기 한국근대문학의 정수(精髓)를 큰글자도서로 만난다! 한국 대표소설 선집(큰글자도서) 총 25권 출간 한국소설을 빛낸 42명의... 근대문학의 핵심 작품을 만난다 20세기 한국 근대문학을 총결산하는 ‘한국 대표소설 선집’(큰글자도서)이 출간되었다. 신채호...
118,"(에약도서)勇者,辭めます 4","クオンタム 원작, 風都 ノリ 저 ",, KADOKAWA ,"  9,860원 "," 8,250원", 2020.08.04,  책 상세정보가 없습니다.
119,"세책, 도서 대여의 역사",이민희 저 ,, 커뮤니케이션북스 ,"  20,000원 "," 19,600원", 2017.09.20,  이 책에서는 국가별 다양한 사례를 통해 당대의 흥행 코드이자 문화 상품이었던 세책 도서와 그 세계의 다양한 풍경을 만날 수 있다. 커뮤니케이션북스 큰글씨책은 약시나 노안으로 독서에 어려움을 겪는 독자를 위해 만든 책이다. 커뮤니케이션북스의 책은 모두 큰글씨책으로 제작된다.
120,펌프킨 시저스 6,RYOTARO IWANAGA 저 , 설은미 역 , 학산문화사 ,"  3,800원 "," 3,400원", 2007.03.15,  그 남자는 언젠가 그대가 모르는 곳에서-. 비밀로 한 '무도회 사건'. 그러나 사람 입에 자물쇠를 채울 수 없는 법이라 소문을 들은 민중 중에 과격한 반정부 운동에 투신하는 자가 늘기 시작했다. '빨간 모자'라는 활동...
121,저 하늘에도 슬픔이,이윤복 글 , 김세현(작가) 그림 , 산하 ,"  8,500원 "," 7,650원", 2004.04.20,"  가난한 환경 속에서도 정직한 마음을 잃지 않고 꿋꿋하게 살았던 소년가장의 이야기. 1964년 출간되어, 세..."
122,계용묵 현경준 유항림 소설 선집 (큰글자도서),"계용묵, 현경준 외 1명 저 ",, 미디어창비 ,"  19,000원 "," 17,100원", 2018.09.01,  20세기 한국근대문학의 정수(精髓)를 큰글자도서로 만난다! 한국 대표소설 선집(큰글자도서) 총 25권 출간 한국소설을 빛낸 42명의... 근대문학의 핵심 작품을 만난다 20세기 한국 근대문학을 총결산하는 ‘한국 대표소설 선집’(큰글자도서)이 출간되었다. 신채호...
123,일본 민속학자가 본 1930년대 서해도서 민속,에틱 박물관 저 , 최길성 역 , 민속원 ,"  8,500원 "," 7,650원", 2004.09.20,"  1930년대 일본인 민속학자, 인류학자들이 조사한 보고서 <조선다도해여행각서>를 주축으로 한 종합적인 민속 연구서. 우리나라 서해 도서 마을의 생활과 문화를 집중적으로 살펴보고 있다."
124,신채호 이익상 양건식 나혜석 소설 선집 (큰글자도서),신채호 저 ,, 미디어창비 ,"  19,000원 "," 17,100원", 2018.09.01,  20세기 한국근대문학의 정수(精髓)를 큰글자도서로 만난다! 한국 대표소설 선집(큰글자도서) 총 25권 출간 한국소설을 빛낸 42명의... 근대문학의 핵심 작품을 만난다 20세기 한국 근대문학을 총결산하는 ‘한국 대표소설 선집’(큰글자도서)이 출간되었다. 신채호...
125,권력과 검찰 (큰글자도서),"최강욱 지음, 김의겸 외 대담 저 ",, 미디어창비 ,"  23,000원 "," 20,700원", 2018.09.01,"  검찰개혁, 이번이 아니면 다음은 없다 아무도 성공하지 못한 단 하나의 개혁과제 온 국민의 관심이 ‘검찰개혁’에 쏠려 있다. 2017년 5월 새 정부가 들어선 뒤 조국 민정수석은 검찰개혁을 주요 국정과제로 제시하며 “빠른 시일 내에 검찰개혁을 마치겠다”라고 밝혔다. 검찰..."
