,곡명,가수,앨범명,앨범구분,발매일,장르,발매사,기획사,소개
1,,,,,,,,,
2,신호등,이무진,신호등,"
									
										
											
											
											
											
											
											[싱글]
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
										
									
									",2021.05.14,록/메탈,카카오엔터테인먼트,쇼플레이엔터테인먼트,"- 무궁무진한 매력을 지닌 ‘이무진’, 청춘의 고민을 담은 노래 ‘신호등’ 발매- ‘싱어게인’ 63호 가수 이무진의 디지털 싱글 음원 ‘신호등’ 첫 자작곡 발표!JTBC ‘싱어게인’에 63호 가수로 출연하여 1화부터 독보적인 존재감을 과시한 '이무진'이 5월 14일에 신곡 '신호등'을 발매한다. '이무진'은 '싱어게인' 출연 당시 1라운드에서 자신을 ‘노란 신호등 같은 가수’라고 표현한 바 있으며, 그 표현과 일맥상통한 이야기의 결과물로 이번 신곡이 만들어졌다. '신호등'은 이제 막 성인이 된 청춘의 심정을 담은 곡으로, '사회'라는 울타리 안에서 인간관계, 법, 융통성, 돈 등 복잡한 사회적 개념과 법칙을 겪으며 혼란스러워하는 20대의 고민을 담았다. 곡 안에서는 사람과 사회를 각각 자동차와 도로에 비유하였고, 살아가며 지켜야 하는 수많은 규칙을 신호등에 비유하였다. 갓 성인이 되어 아는 게 많이 없는 '이무진'이라는 사람에게 ""네가 판단해서 알아서 잘 해봐""라는 말은 혼란을 주는 말이었고, 마치 초보운전자가 바라본 신호등의 노란 불과 같다는 생각에 영감을 얻어 만들어진 곡이다. '세상 속 사회 초년생'과 '도로 위 초보운전자'를 비유하여 만든 곡이다.Composed by 이무진Lyrics by 이무진Arranged by 유종호, 이무진Guitar Performed by 이태욱Piano Performed by 이서연Keyboard Performed by 유종호Bass Performed by 유종호Drum Performed by 유종호Brass Performed by B'Sound (김명기, 서대광, 우성민)Recording Directed by 유종호Recorded by 김광민 @개나리싸운드Mixed by 마스터키 @821 SoundMastered by 권남우 @821 Sound"
3,Next Level,aespa,Next Level,"
									
										
											
											
											
											
											
											[싱글]
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
										
									
									",2021.05.17,댄스,Dreamus,SM ENTERTAINMENT,"Album Introduce‘글로벌 슈퍼 루키’ aespa, 싱글 ‘Next Level’ 공개!세계관 스토리 담은 힙합 댄스곡! 파워풀 매력 선사!SM 신인 걸그룹 aespa가 싱글 ‘Next Level’을 공개했다.신곡 ‘Next Level’은 영화 ‘분노의 질주: 홉스&쇼 (Fast & Furious: Hobbs & Shaw)’의 OST ‘Next Level’을 aespa만의 색깔로 리메이크, 그루비한 랩과 에너지 넘치는 베이스리프가 돋보이는 힙합 댄스곡으로 재탄생했으며, aespa 멤버들의 파워풀한 보이스와 버라이어티한 곡 진행이 돋보인다.또한 가사에는 aespa와 아바타 ‘ae’의 ‘SYNK’를 방해하고 세상을 혼란에 빠뜨린 ‘Black Mamba’를 찾기 위해 ‘광야(KWANGYA)’로 떠나는 여정을 담은 세계관 스토리를 흥미롭게 담아냈다.앞서 aespa는 지난해 11월 ‘Black Mamba’로 데뷔, 역대 K팝 그룹 데뷔곡 뮤직비디오 사상 최단 1억 뷰 기록을 비롯해, 미국 빌보드 및 중국 최대 음악 사이트 QQ뮤직 등 글로벌 차트에서 ‘괴물 신인’다운 파워를 입증한 바 있어, 이번 신곡으로 보여줄 활약에 많은 기대가 모아지고 있다.Album Review01 Next LevelKorean Lyrics by YOO YOUNG JINComposed by Mario Marchetti / Adam McInnis / Sophie Curtis / YOO YOUNG JINArranged by Mario Marchetti / Adam McInnis / YOO YOUNG JIN‘Next Level’은 영화 ‘분노의 질주: 홉스&쇼 (Fast & Furious: Hobbs & Shaw)’의 OST ‘Next Level’을 aespa만의 색깔로 리메이크, 그루비한 랩과 에너지 넘치는 베이스리프가 돋보이는 힙합 댄스곡으로 재탄생했으며, aespa 멤버들의 파워풀한 보이스와 버라이어티한 곡 진행이 돋보인다.또한 가사에는 aespa와 아바타 ‘ae’의 ‘SYNK’를 방해하고 세상을 혼란에 빠뜨린 ‘Black Mamba’를 찾기 위해 ‘광야(KWANGYA)’로 떠나는 여정을 담은 세계관 스토리를 흥미롭게 담아냈다.[Credits]Executive Producer: SM ENTERTAINMENT Co., Ltd.Producer: SOO-MAN LEEMusic & Sound Supervisor: YOO YOUNG JINDirected by YOO YOUNG JINBackground Vocals by YOO YOUNG JIN, aespa, KrizRecorded by YOO YOUNG JIN @ SM BOOMINGSYSTEMDigital Editing & Engineered for Mix by YOO YOUNG JIN @ SM BOOMINGSYSTEMMixed by YOO YOUNG JIN @ SM BOOMINGSYSTEMMastered by 전훈 @ SONICKOREA (Assist. 신수민) "
4,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,"
									
										
											
											
											
											
											
											[싱글]
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
										
									
									",2021.06.26,발라드,"지니뮤직, Stone Music Entertainment",유야호,"[앨범소개]MBC 예능 프로그램 [놀면 뭐하니?]의 새로운 음악 프로젝트 [MSG워너비][환불원정대]를 성공시킨 지미유의 쌍둥이 동생이자, 전통을 사랑하는 힙스터 '유야호'가 SG워너비에 버금가는 새로운 남성 보컬 그룹 [MSG워너비]를 제작한다![MSG워너비] 멤버를 뽑는 기준은 단 하나! 유명세도 비주얼도 아닌 TOP10귀 유야호를 사로잡는 목소리!블라인드 오디션, 3인 조별 미션, 최종 경연을 거쳐 탄생한 MSG워너비의 M.O.M(별루지, 강창모, 원슈타인, 박재정)과 정상동기(김정수, 정기석, 이동휘, 이상이)가 드디어 가요계 정상에서 ""유야호~~""를 외칠 데뷔곡을 선보인다![곡 소개]■ MSG워너비(M.O.M) – 바라만 본다‘MSG워너비(‘M.O.M) – 바라만 본다’는 누구나 한번쯤 경험해본, 다가가지 못하는 사랑에 대한 감정을 담은 미디엄템포 R&B 발라드 곡이다.리드미컬한 비트에 어쿠스틱 기타와 피아노의 감성적인 멜로디가 어우러져 2000년대의 향수를 불러일으킨다. 특히, 서정적인 스트링 라인과 조화를 이루는 멤버들의 보컬은 섬세한 감정 컨트롤을 보여주어 그 시절과는 또 다른 매력을 선사한다.같은 듯 같지 않은 신선한 듯 낯설지 않은 편안한 리듬과 선율은 모든 연령층의 사랑을 받는 명곡 탄생을 예감케 한다. [Credit]Lyrics by 강은경, 김도훈(RBW)Composed by 박근태, 김도훈(RBW), 강지원Arranged by 강지원Guitar 박인우Bass 강지원Piano 강지원Synthesizer 강지원Drum Programing 강지원Strings Arranged by 권석홍, 장석원Strings Conducted by 권석홍Strings RB-INJChorus 박현규(VROMANCE)Vocal Recoreded by 김광민, 홍수연@ 개나리싸운드김도훈, 유상호@ RBW StudioChorus Recoreded by 김도훈, 조은주@ RBW StudioGuitar Recorded by 박인우@ SuperSoundStrings Recorded by 신대용, 김용섭@ Infinity StudioDigital Edited by 김도훈, 강지원, 조은주@ RBW Studio, 김영식Mixed by 김영식@ Velvet StudioMastered by 최효영@ SUONO Mastering■ MSG워너비(정상동기) – 나를 아는 사람90년대를 휩쓸었던 전형적인 8분의 6박자 컨템포러리 R&B곡으로 남성 중창단의 매력을 잘 표현할 수 있는 스타일의 곡이다.40~50년대 가스펠과 Doo Wop 시대를 지나 60년대 Deep Soul, 70년대 Philly Soul 중창단의 계보를 잇는 90년대 남성 중창단의 인기는 대단했다.팝적이면서도 흑인음악 특유의 하모니와 감성이 살아있는 컨템포러리 R&B는 그 시절 수많은 보컬그룹들을 양산해냈고 중창 특유의 매력을 발산하며 많은 사랑을 받았다.이런 배경 속에서 만들어진 '나를 아는 사람'은 우리나라 말이 잘 어울리는 남자 4중창 컨템포러리 R&B곡으로 피아노를 중심으로 호소력 짙은 색소폰 연주와 매혹적인 하몬드 오르간의 선율이 애절하면서도 로맨틱한 분위기를 더해준다.세상에서 가장 특별한 사람에게 사랑을 고백하는 내용의 노랫말 또한 정상동기 멤버들의 개성 있는 음색을 통해 풋풋하면서도 마음을 울리는 가슴 찡한 감동을 선사한다.[Credit]Composed by 나얼Lyrics by 영준Arranged by 강화성Vocal Arranged By 나얼 / 영준Background Vocal by 정상동기 / 나얼 / 영준Programming by 신정은Organ by 송성경Piano by 강화성Keyboards by 강화성 / 홍준호Guitar by 홍준호Bass by 최훈Drum by 신정은 / 김지환(AND)Saxophone by 멜로우키친Recorded by 김갑수 @LONG PLAY MUSIC Studio @821 SOUND @Lead Sound정기홍(Assist by 최다인, 이찬미) @Seoul Studio이창선 @Prelude StudioMixed by 최형 @C-JeS StudioMastered by 권남우 @821 SOUND"
5,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,"
									
										
											
											
											
											
											
											[싱글]
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
										
									
									",2020.06.20,랩/힙합,YG PLUS,NEOKIDZ,"D-Hack & PATEKO 나의 밤인 너에게 아침 인사를 한다면OHAYO MY NIGHT [CREDIT] 01.OHAYO MY NIGHT -Lyrics by D-Hack-Composed by PATEKO,D-Hack-Arranged by PATEKO-Guitar by 정홍교-String by 임우빈-Mixed J;KEY,Union @ Vluz Sound-Mastered by J;KEY"
6,Weekend,태연 (TAEYEON),Weekend,"
									
										
											
											
											
											
											
											[싱글]
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
										
									
									",2021.07.06,댄스,Dreamus,SM ENTERTAINMENT,"‘믿고 듣는 보컬퀸’ 태연, 싱글 ‘Weekend’ 공개!톡톡 튀는 휴일 바이브+달콤 보이스, 여름 강타 예고!‘믿고 듣는 보컬퀸’ 태연이 새 싱글 ‘Weekend’로 톡톡 튀는 휴일 바이브를 선사한다.싱글 ‘Weekend’는 작년 12월 발매된 네 번째 미니앨범 ‘What Do I Call You’ 이후 약 7개월만에 선보이는 태연의 신곡으로, 음악 팬들의 높은 관심이 기대된다.신곡 ‘Weekend’는 경쾌한 기타와 레트로한 신스 사운드가 어우러진 디스코 팝 장르의 곡으로, 가사에는 반복되는 일상에서 잠시 벗어나 주말만은 하고 싶은 대로 자유롭게, 이끌리는 대로 떠나고 싶은 마음을 담았으며, 태연의 달콤한 보컬과 나긋한 싱잉랩이 곡의 설레는 분위기를 한층 배가시킨다.또한 태연은 ‘I’, ‘Rain’, ‘Why’, ’Fine’, ‘사계 (Four Seasons)’, ‘불티 (Spark)’, ‘Happy’ 등 솔로곡들은 물론 OST, 컬래버레이션 등 다양한 음악 활동을 통해 다채로운 보컬 매력과 뛰어난 가창력으로 사랑받는 독보적인 보컬리스트인 만큼, 이번 신곡으로 보여줄 새로운 모습이 기대를 모은다.Single Review01. WeekendKorean Lyrics by 황유빈Composed by RoseInPeace / Saimon / Willemijn van der Neut / Marcia “MISHA” SondeijkerArranged by Saimon / RoseInPeace‘Weekend’는 경쾌한 기타와 레트로한 신스 사운드가 어우러진 디스코 팝 장르 곡으로, 가사에는 반복되는 일상에서 잠시 벗어나 주말만은 하고 싶은 대로 자유롭게 보내고, 이끌리는 대로 떠나고 싶은 마음을 표현했으며, 태연의 달콤한 보컬과 나긋한 싱잉랩이 곡의 설레는 분위기를 배가시킨다. "
7,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,"
									
										
											
											
											
											
											
											
											[EP]
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
										
									
									",2021.07.26,"록/메탈, 댄스, R&B/Soul",YG PLUS,YG Entertainment,"	@ AKMU COLLABORATION ALBUM [NEXT EPISODE] 	 	AKMU 신규 앨범 [NEXT EPISODE]는 2017년 발매된 [SUMMER EPISODE]에 이어 4년 만에 시작되는 새로운 에피소드로, 전곡 피처링진이 참여한 AKMU의 “첫 컬래버레이션 앨범”으로 선보인다.	 	피처링으로는 이선희, 아이유, Zion.T, Beenzino, 잔나비 최정훈, Crush, Sam Kim이, 작곡과 편곡에는 지난 AKMU 앨범들에서 프로듀서 이찬혁과 음악적 시너지를 보여주었던 적재, PEEJAY, 이현영, MILLENNIUM이 참여하며 화려한 컬래버레이션 라인업을 구성하였다. 음악적으로도 이전보다 새로운 시도들이 보이는데, 지금까지의 AKMU 디스코그라피에서 볼 수 없었던 타 아티스트의 첫 피처링 참여가 그것이며, 사운드적으로도 20세기 후반의 레트로한 사운드를 영감으로 여러 컬래버레이터의 음악적 색깔을 더해 보다 신선하고 실험적인 장르와 서사를 만들었다.	 	이번 앨범 [NEXT EPISODE]를 엮어낸 주제는 ‘Beyond Freedom(초월자유)'이다. ‘초월자유'란 단순히 육체적인 안락과 편안함을 넘어 어떠한 환경이나 상태에도 영향받지 않는 내면의 자유를 의미하며, AKMU는 이 주제를 트랙리스트 7곡에서 각기 다른 이야기로 풀어내었다.	 	개인이 해결할 수 없는 상황이나, 남들의 기준과 시선, 개인의 아픔 등으로부터 굴복하지 않고 내면의 단단함을 잃지 않고자 하는 의지의 이야기이며, 어려운 상황 속에서도 함께 희망을 찾고 결국 우리가 꿈꾸는 목적지로 도달할 수 있다는 위로와 희망의 메시지이다.	 	AKMU의 첫 번째 컬래버레이션 앨범 [NEXT EPISODE]를 통해 현재 불편함의 시간을 겪고 있는 우리 모두에게 어떠한 시련이 다가와도 함께하겠다는 AKMU의 메시지가 믿음과 위로가 되길 바란다.	 	 	@ CREDIT	 	01. 전쟁터 (with 이선희)	Lyrics by 이찬혁	Composed by 이찬혁, MILLENNIUM, SIHWANG 	Arranged by MILLENNIUM, SIHWANG 	 	E.Guitar SIHWANG	Drum MILLENNIUM	E.Bass SIHWANG	Synth MILLENNIUM, SIHWANG	Programming MILLENNIUM	Sampling&Editing MILLENNIUM	 	 	02. 낙하 (with 아이유)	Lyrics by 이찬혁	Composed by 이찬혁, MILLENNIUM	Arranged by MILLENNIUM	 	Drum MILLENNIUM	Bass MILLENNIUM	Keyboard MILLENNIUM	Synth MILLENNIUM	FX MILLENNIUM	 	 	03. BENCH (with Zion.T)	Lyrics by 이찬혁	Composed by 이찬혁, 이현영, MILLENNIUM	Arranged by 이현영, MILLENNIUM	 	E.Guitar 정수완	Drum MILLENNIUM	Bass 구본암 	Keyboard 이현영	Synth 이현영	FX MILLENNIUM	Percussion MILLENNIUM	 	 	04. 째깍 째깍 째깍 (with Beenzino)	Lyrics by 이찬혁, BEENZINO 	Composed by 이찬혁, PEEJAY	Arranged by PEEJAY	 	E.Guitar 김승현 (SHYUN)	Drum PEEJAY	Bass 박종우 (PJNOTREBLE)	Keyboard PEEJAY	Percussion PEEJAY	Chorus BEENZINO, PEEJAY	 	 	05. 맞짱 (with 잔나비 최정훈)	Lyrics by 이찬혁	Composed by 이찬혁, 이현영	Arranged by 이현영 	 	A.Guitar 임헌일	E.Guitar 임헌일	Drum 박재범	Bass 구본암 	Keyboard 이현영	Synth 이현영	Percussion 박재범	 	 	06. Stupid love song (with Crush)	Lyrics by 이찬혁	Composed by 이찬혁, 적재 	Arranged by 적재	 	A.Guitar 적재	E.Guitar 적재	Bass 적재	Drum 적재	Synth 윤준현	 	 	07. EVEREST (with Sam Kim) 	Lyrics by 이찬혁	Composed by 이찬혁, 적재 	Arranged by 적재	 	A.Guitar 적재	E.Guitar 적재	Bass 적재	Drum 적재"
8,Permission to Dance,방탄소년단,Butter / Permission to Dance,"
									
										
											
											
											
											
											
											[싱글]
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
										
									
									",2021.07.09,댄스,YG PLUS,BIGHIT MUSIC,"	방탄소년단, 싱글 CD <Butter> 발매	글로벌 서머송 <Butter>와 심장을 뛰게 하는 <Permission to Dance> 수록	'21세기 팝 아이콘' 방탄소년단의 전 세계를 향한 메시지…'Listen to your Heart's Rhythm'	 	그룹 방탄소년단이 7월 9일 싱글 CD <Butter>를 발매했다.	 	2020년 8월 전 세계에 긍정 에너지를 불어넣은 디지털 싱글 <Dynamite>, '그럼에도 우리의 삶은 계속된다'라는 위로와 응원 메시지를 담은 앨범 <BE>의 타이틀곡 <Life Goes On>, 신나고 경쾌한 서머송 <Butter>에 이어 이번에 방탄소년단이 내놓은 노래는 누구나 쉽게 즐길 수 있는 <Permission to Dance>이다.	 	싱글 CD <Butter>에는 전 세계를 강타하며 글로벌 서머송으로 자리매김한 <Butter>와 <Permission to Dance>, 그리고 두 곡의 인스트루멘털(Instrumental) 버전 등 모두 4개 트랙이 수록됐다.	 	들을수록 신나는 <Butter>	 	2021년 5월 21일 디지털 싱글로 공개된 <Butter>는 방탄소년단의 경쾌한 서머송으로, 발표와 동시에 전 세계에서 뜨거운 반응이 쏟아졌다.	 	방탄소년단은 <Butter>로 기존에 자신들이 보유 중이던 기록들을 하나씩 깨뜨리며 '전 세계 유튜브 24시간 최다 조회수', '스포티파이 일일 최다 스트리밍' 등 각종 신기록을 세웠다. 또한, 미국 빌보드 메인 싱글 차트 '핫 100'에서 4곡째 1위를 차지하며 '21세기 팝 아이콘'의 위용을 드러냈다.	 	중독성 강한 댄스 팝 장르인 <Butter>는 시작부터 귀를 사로잡는 베이스 라인과 청량한 신스(Synth) 사운드가 돋보이는 곡이다.	 	작사와 작곡에 Rob Grimaldi, Stephen Kirk, Ron Perry, Jenna Andrews, Alex Bilowitz, Sebastian Garcia 등 여러 뮤지션들이 참여했고, 리더 RM도 곡 작업에 동참해 방탄소년단만의 향기를 가미했다. 때로는 부드럽고, 때로는 강렬한 방탄소년단의 상반된 매력이 동시에 느껴진다.	 	버터처럼 부드럽게 녹아들어 너를 사로잡겠다는, 능청스럽고도 귀여운 고백이 담긴 가사도 매력적이다. 여기에 활력 넘치는 멜로디와 방탄소년단의 매혹적인 퍼포먼스까지 더해져 듣는 이들은 노래에 푹 빠져든다.	 	들을수록 기분 좋아지는 <Permission to Dance>, 에드 시런 등 세계적인 뮤지션 참여	 	<Butter>에 이은 방탄소년단의 신곡. <Butter>만큼 경쾌하고 신나게, 또 쉽게 즐길 수 있는 <Permission to Dance>.	 	댄스 팝 기반의 <Permission to Dance>는 상쾌한 피아노 연주와 스트링 사운드의 유려함에 매료돼 듣다 보면 어느새 어깨를 들썩이게 되는, 들을수록 기분 좋아지는 곡이다.	 	곡 작업에는 세계적인 뮤지션 에드 시런(Ed Sheeran)과 영국 출신 프로듀서 스티브 맥(Steve Mac) 등이 참여했다.	 	""We don't need permission to dance""	춤은 마음 가는 대로, 허락은 필요 없어…방탄소년단의 춤과 노래에 빠지는 순간!	 	방탄소년단은 활기찬 분위기의 <Permission to Dance>로 또다시 독보적인 실력과 매력을 뽐낸다. 노래를 듣다 보면 마음이 편안해지는 부드러운 목소리에 한 번, 맑고 상쾌한 기운이 물씬 풍기는 퍼포먼스에 또 한 번 빠져들게 된다.	 	""We don't need permission to dance(우리가 춤추는 데 허락은 필요 없어)""라는 노랫말에서 알 수 있듯 <Permission to Dance>는 현실의 벽에 부닥치고 고단한 하루를 보낸 모두에게 '춤은 마음 가는 대로, 허락 없이 마음껏 춰도 된다'라는 메시지를 전한다.	 	퍼포먼스에서는 누구나 쉽게 따라 하면서 곡의 경쾌한 분위기에 젖어들 수 있는 쉬운 동작들이 이어지는 것이 포인트. 또한, 밝고 활기찬 방탄소년단만의 멋스러움을 표현하는 데에도 초점이 맞춰졌다. 멤버별 스포트라이트는 물론이고, 유닛별 호흡도 놓치지 않는다.	 	포인트 안무로는 피아노를 치며 음악에 몸을 맡긴 듯한 춤, 신나는 스텝을 시작으로 박자를 맞추는 손짓, 서로를 토닥이며 걷는 동작 등이 있다. 자유분방하면서도 멤버들의 친근함이 돋보이는 안무까지 풍성한 퍼포먼스가 시선을 사로잡는다.	 	""Listen to your Heart's Rhythm""	네 심장의 리듬을 들어 봐…우리 모두를 위한 방탄소년단의 메시지	 	어떠한 제약도, 한계도 없이 그저 푸른 하늘과 드넓은 바다를 연상하게 만드는 <Permission to Dance>. 맑은 멜로디 위로 흐르는 가사는 힘든 하루를 보낸 모두를 향해 심장의 리듬에 맞춰 몸을 움직여 보라며 어깨를 토닥인다.	 	힘든 상황이지만 춤과 노래를 통해 자유와 행복을 찾자'라는 힘찬 응원, '그럼에도 삶은 계속된다'라는 차분한 위로를 뛰어넘어, ""춤추는 데 허락은 필요 없다""라며 각자 심장의 리듬에 귀 기울이자는 <Permission to Dance>의 메시지는 진취적이며, 직설적이다. 방탄소년단은 ""우린 이제 시작이야(we're just getting started)"", ""그냥 찬란하게 살자(live just like we're golden)"", ""기다림은 끝났어 / 지금이야 그러니까 제대로 즐겨보자(The wait is over / The time is now so let's do it right)""라는 가사를 통해 다시 시작할 수 있는 용기, 신나게 춤출 수 있는 힘을 북돋워 준다.	 	이는 <Permission to Dance>의 뮤직비디오에서 보다 선명하게 느낄 수 있다. 마스크를 쓴 채 지낼 수밖에 없는 팬데믹 상황 속의 우리에게, 코로나19가 종식된 미래의 어느 날 방탄소년단이 '희망'이 담긴 보라색 풍선을 날린다. 실내와 야외 공간을 넘나들며 함께 모여 신나게 춤을 추는 방탄소년단의 모습이 이어지는 가운데 보라색 풍선을 발견한 사람들이 어떠한 제약도, 구속도 없이 자유롭게 춤을 춘다. 후반부 일곱 멤버가 군중과 함께 춤을 추는 장면에서는 특별한 안무가 등장한다. 국제수화를 활용한 '특별 퍼포먼스'가 그것. 누구나 쉽게 따라 할 수 있는 동작에 긍정적인 메시지까지 담긴 수화 퍼포먼스가 전 세계에 깊은 울림을 선사한다. 첫 장면부터 끝까지 밝고 사랑스러운 분위기를 풍기는 <Permission to Dance> 뮤직비디오는 보는 이들에게 기분 좋은 에너지를 불어넣는다.	 	###	 	1. Butter	 	Produced by Rob Grimaldi, Stephen Kirk, Ron Perry	(Jenna Andrews, Rob Grimaldi, Stephen Kirk, RM, Alex Bilowitz, Sebastian Garcia, Ron Perry)	 	Background Vocal - Jenna Andrews	Gang Vocal - RM, SUGA, j-hope	Vocal Production - Jenna Andrews, Stephen Kirk	Vocal Arrangement - Pdogg	Recording Engineers - Pdogg @ Dogg Bounce	Juan “Saucy” Peña @ Larry and George Studios	Keith Parry @ Larry and George Studios	 	Mix Engineer - Serban Ghenea @ MixStar Studios, Virginia Beach, VA	(Assisted by John Hanes)	 	 	2. Permission to Dance	 	Produced by Steve Mac, Stephen Kirk, Jenna Andrews	(Ed Sheeran, Steve Mac, Johnny McDaid, Jenna Andrews)	 	Keyboard - Steve Mac, Stephen Kirk, Alex Bilo	Drums - Stephen Kirk, Chris Laws	Bass - Ed Sheeran	Guitar - John Parricelli	String Arrangement - Dave Arch	Additional Keyboard and String - Alex Bilo	Background Vocal - Jenna Andrews	Vocal Production - Jenna Andrews, Stephen Kirk	Vocal Arrangement - Pdogg	Recording Engineers - Pdogg @ Dogg Bounce	Rob Grimaldi @ Larry and George Studios	Juan “Saucy” Peña @ Larry and George Studios	Keith Parry @ Larry and George Studios	Dan Pursey @ Rokstone Studios, London	Chris Laws @ Rokstone Studios, London	 	Mix Engineer - Serban Ghenea @ MixStar Studios, Virginia Beach, VA	(Assisted by John Hanes)	 	 	3. Butter (Instrumental)	 	Produced by Rob Grimaldi, Stephen Kirk, Ron Perry	(Jenna Andrews, Rob Grimaldi, Stephen Kirk, RM, Alex Bilowitz, Sebastian Garcia, Ron Perry)	 	Mix Engineer - Serban Ghenea @ MixStar Studios, Virginia Beach, VA	(Assisted by John Hanes)	 	 	4. Permission to Dance (Instrumental)	 	Produced by Steve Mac, Stephen Kirk, Jenna Andrews	(Ed Sheeran, Steve Mac, Johnny McDaid, Jenna Andrews)	 	Mix Engineer - Serban Ghenea @ MixStar Studios, Virginia Beach, VA	(Assisted by John Hanes)"
