,신문사url,기사타이틀,기사url,요약기사
14,http://www.hankookilbo.com/,"[뉴스룸에서] 자영업 ‘오징어게임’, 이대로 둘 건가",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=469&aid=0000635552,"어느덧 ‘위드 코로나’를 검토하는 요즘도 우울한 자영업 뉴스는 계속된다. “확인된 자살자만 22명”(코로나19 대응 전국 자영업자 비대위), “1년 반 사이 자영업자 부채 66조 원 급증”(오세희 소상공인연합회장)..."
15,http://www.kyeonggi.com/,전운 감도는 경기도 국감장 [포토뉴스],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=421&aid=0005661577,국회 행정안전위원회의 경기도 국정감사를 하루 앞둔 17일 오후 경기도청에서 관계자들이 국정감사장 설치 및 점검을 하고 있다. 김시범기자 국회 행정안전위원회의 경기도 국정감사를 하루 앞둔 17일 오후 경기도청에서...
16,http://news1.kr/,'루머에 사고 뉴스에 팔라' 비트코인 ETF 승인에도 소폭 하락(종합),https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005663154,미국의 증권 감독 당국인 증권거래위원회(SEC)가 비트코인 상장지수펀드(ETF)를 잠정 승인했다는 소식에도 비트코인은 소폭 하락하고 있다. 비트코인은 17일 오전 7시 현재(한국시간 기준) 글로벌 코인시황...
17,http://news1.kr/,[뉴스1 PICK] 막 오른 '이재명 국감',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003142879,"경기도지사인 이재명 더불어민주당 대선 후보가 18일 경기도청에서 열린 국회 행정안전위원회의 경기도 국정감사에 출석했다. 여당 대선 후보가 국정감사 증인으로 나오는 것은 유례를 찾기 힘든 일로, 사실상 '대통령..."
18,http://joongang.joins.com/,"""여친 죽었어도 5억 못탄다"" 악마 10대들 무모한 범행 전말 [뉴스원샷]",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=448&aid=0000341596,최경호 내셔널팀장의 픽: 10대 범죄자도 신상공개 청원 지난 9일 오후 11시30분쯤 전남 화순군의 한 펜션. 수로 안에 몸을 숨긴 한 여성이 “살려주세요”라고 외칩니다. 온몸이 피투성이가 된 여성은 펜션 투숙객들에...
19,http://tv.chosun.com/,[뉴스야?!] 이낙연의 패착?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005662945,"뉴스야 시작합니다. 정치부 최지원 기자 나왔습니다. 첫번째 물음표 보죠. 첫번째 물음표는 ""윤석열은 안 되고, 김오수는 되고?""입니다. [앵커] 윤 전 총장의 후임인 김오수 전 총장, 성남시 고문변호사로 활동했던 사실이..."
20,http://news1.kr/,"화순전남대병원, 뉴스위크 선정 '월드 베스트 암 병원'",,화순전남대학교병원이 뉴스위크가 선정한 '암 치료 잘하는 세계 최고 병원'으로 꼽혔다. 18일 화순전남대학교병원에 따르면 미국 시사주간지 뉴스위크는 최근 '2022 임상 분야별 세계 최고 병원'을 선정해 발표했다....
21,http://news.kbs.co.kr/,[뉴스광장 영상] 외암민속마을,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011138985,
22,http://news.jtbc.joins.com/,남욱 LA서 귀국비행기 탑승...오늘 저녁6시 뉴스룸 보도,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=437&aid=0000278538,〈오늘 오후 6시 JTBC뉴스룸에서 홍희정 LA특파원이 LA공항 현지에서 자세한 내용 전해드립니다. 〉 대장동 의혹의 핵심 인물 중 한 명으로 꼽히는 천화동인 4호 소유주 남욱 변호사가 귀국합니다. JTBC 취재진은 미국...
23,http://news.jtbc.joins.com/,"[월드뉴스W] ""크리스마스 선물, 지금 준비하라""…최악 물류대란 왜?",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=437&aid=0000278547,"무슨 일인지, 월드뉴스W 윤설영 기자가 전해드립니다. [기자] 얼굴에 사정없이 주먹을 날리고 온몸으로 밀어붙입니다. 상대를 향해 발길질을 합니다. 엉겨붙어 주먹이 오가고 격렬한 싸움이 벌어집니다. 유소에서 기름을..."
