,작품명,관람등급,방송사,방영시작일,방영종료일,방영일/시간,소개
22,간 떨어지는 동거,15세이상,tvN, 2021.05.26. ~ 2021.07.15. 16부작 , 2021.05.26. ~ 2021.07.15. 16부작 ,,999살 구미호 신우여와 쿨내나는 99년생 요즘 인간 이담이 구슬로 인해 얼떨결에 한집 살이를 하며 펼치는 비인간적 로맨틱 코미디
23,보쌈-운명을 훔치다,15세이상,MBN, 2021.05.01. ~ 2021.07.04. 20부작 , 2021.05.01. ~ 2021.07.04. 20부작 ,,생계형 보쌈꾼이 실수로 옹주를 보쌈하며 벌어지는 파란만장 인생 역전을 그린 로맨스 퓨전 사극
24,미스 몬테크리스토,15세이상,KBS2, 2021.02.15. ~ 2021.07.02. 100부작 , 2021.02.15. ~ 2021.07.02. 100부작 ,,믿었던 친구들에게 죽음까지 내몰렸던 한 여인이 복수를 다짐하고 돌아와 송두리째 빼앗긴 인생을 되찾는 드라마
25,,,,,,,
26,어느 날 우리 집 현관으로 멸망이 들어왔다,15세이상,tvN, 2021.05.10. ~ 2021.06.29. 16부작 , 2021.05.10. ~ 2021.06.29. 16부작 ,,사라지는 모든 것들의 이유가 되는 존재 ‘멸망’과 사라지지 않기 위해 목숨을 건 계약을 한 인간 ‘동경’의 아슬아슬한 목숨담보 판타지 로맨스
27,마인,15세이상,tvN, 2021.05.08. ~ 2021.06.27. 16부작 , 2021.05.08. ~ 2021.06.27. 16부작 ,,세상의 편견에서 벗어나 진짜 나의 것을 찾아가는 강인한 여성들의 이야기
28,언더커버,15세이상,JTBC, 2021.04.23. ~ 2021.06.12. 16부작 , 2021.04.23. ~ 2021.06.12. 16부작 ,,자신의 정체를 숨기고 살아온 남자가 일련의 사건에 휘말리며 가족을 지키기 위해 고군분투 하는 이야기
29,대박부동산,15세이상,KBS2, 2021.04.14. ~ 2021.06.09. 16부작 , 2021.04.14. ~ 2021.06.09. 16부작 ,,공인중개사인 퇴마사가 퇴마 전문 사기꾼과 한 팀이 되어 흉가가 된 부동산에서 원귀나 지박령을 퇴치하고 기구한 사연들을 풀어주는 생활밀착형 퇴마 드라마
30,로스쿨,15세이상,JTBC, 2021.04.14. ~ 2021.06.09. 16부작 , 2021.04.14. ~ 2021.06.09. 16부작 ,,"대한민국 최고의 명문 로스쿨 교수와 학생들이 전대미문의 사건에 얽히게 되면서 펼쳐지는 캠퍼스 미스터리와 더불어, 피, 땀, 눈물의 살벌한 로스쿨 생존기를 통해 예비 법조인들이 진정과 법과 정의를 깨닫는 과정을 담은 드라마"
31,오월의 청춘,15세이상,KBS2, 2021.05.03. ~ 2021.06.08. 12부작 , 2021.05.03. ~ 2021.06.08. 12부작 ,,"1980년 5월, 역사의 소용돌이 한가운데 운명처럼 서로에게 빠져버린 희태와 명희의 아련한 봄 같은 사랑 이야기를 담은 레트로 휴먼 멜로드라마"
